City,Temp,Lat,Lon,Hum,Cloud,Wind,Country
Las vegas,10.03,36.17,-115.14,50.0,1.0,2.1,US
Omsukchan,-22.48,62.53,155.8,92.0,0.0,4.13,RU
Norman wells,-29.0,65.28,-126.83,75.0,75.0,1.0,CA
Mataura,7.22,-46.19,168.86,79.0,0.0,0.45,NZ
Vila velha,28.46,-20.33,-40.29,74.0,75.0,3.6,BR
Vaitupu,,,,,,,
Ust-kuyga,-20.7,70.02,135.6,87.0,96.0,2.66,RU
Bredasdorp,23.98,-34.53,20.04,54.0,7.0,9.3,ZA
Albany,3.5,42.6,-73.97,56.0,90.0,5.1,US
Lebu,14.53,-37.62,-73.65,63.0,37.0,4.27,CL
Sao joao da barra,23.68,-21.64,-41.05,94.0,90.0,4.1,BR
Taolanaro,,,,,,,
Ayagoz,-9.06,47.97,80.44,75.0,0.0,1.18,KZ
Savannah bight,27.3,16.45,-85.85,73.0,0.0,12.84,HN
Agva,,,,,,,
Poum,27.46,-20.23,164.02,71.0,50.0,2.12,NC
Bouna,40.73,9.27,-3.0,20.0,72.0,1.51,CI
Aranos,27.45,-24.13,19.12,34.0,31.0,6.74,NA
East london,31.0,-33.02,27.91,62.0,0.0,4.1,ZA
Kaitangata,11.11,-46.28,169.85,71.0,5.0,3.84,NZ
Labuhan,25.05,-6.88,112.21,94.0,100.0,1.25,ID
Nata,23.56,8.33,-80.52,83.0,16.0,1.5,PA
Kloulklubed,27.0,7.04,134.26,88.0,90.0,4.6,PW
Dikson,-23.5,73.51,80.55,99.0,63.0,5.58,RU
Cherskiy,-17.16,68.75,161.3,77.0,16.0,5.53,RU
Karaul,,,,,,,
Pisco,21.85,-13.7,-76.22,30.0,100.0,1.02,PE
Aquiraz,26.92,-3.9,-38.39,83.0,75.0,5.7,BR
Sinnamary,26.09,5.38,-52.95,75.0,100.0,7.58,GF
Perelyub,0.58,51.87,50.37,99.0,100.0,3.05,RU
Zhangye,7.03,38.93,100.45,20.0,0.0,1.43,CN
Ponta delgada,16.0,37.73,-25.67,72.0,40.0,10.8,PT
Kitimat,0.0,54.05,-128.65,94.0,40.0,1.0,CA
Chincha alta,21.86,-13.41,-76.13,30.0,100.0,1.02,PE
Carnarvon,27.0,-24.87,113.63,78.0,0.0,7.7,AU
Tankara,31.0,22.67,70.73,25.0,20.0,6.2,IN
La troncal,20.42,-2.4,-79.33,93.0,75.0,1.5,EC
Asau,16.97,46.43,26.4,55.0,86.0,8.7,RO
Margate,8.77,51.38,1.39,70.0,20.0,2.1,GB
Port elizabeth,38.0,-33.92,25.57,31.0,20.0,4.1,ZA
Pevek,-18.69,69.7,170.31,72.0,0.0,4.76,RU
Iquique,21.0,-20.22,-70.14,68.0,90.0,1.46,CL
Hobart,14.77,-42.88,147.33,67.0,75.0,4.6,AU
Vila do maio,30.0,15.13,-23.22,37.0,0.0,8.7,CV
Mahebourg,29.77,-20.41,57.7,79.0,40.0,5.1,MU
De aar,29.84,-30.65,24.01,20.0,0.0,4.67,ZA
Batagay,-20.22,67.63,134.63,76.0,0.0,2.69,RU
Berestechko,5.19,50.36,25.11,89.0,100.0,6.25,UA
Chagda,,,,,,,
Nikolskoye,3.14,59.7,30.79,86.0,90.0,8.0,RU
Ancud,13.0,-41.87,-73.82,100.0,67.0,1.13,CL
Platanos,15.09,37.67,21.62,51.0,20.0,2.6,GR
Kapaa,22.16,22.08,-159.32,94.0,40.0,3.6,US
Samagaltay,-17.46,50.6,95.0,97.0,86.0,0.78,RU
Karauzyak,,,,,,,
Rafai,41.48,4.95,23.92,9.0,0.0,1.91,CF
Port-cartier,-3.75,50.03,-66.87,85.0,90.0,3.6,CA
Vila franca do campo,16.0,37.72,-25.43,72.0,40.0,10.8,PT
Manokwari,23.82,-0.87,134.08,90.0,69.0,2.31,ID
Antsohihy,32.1,-14.88,47.99,63.0,4.0,2.91,MG
Mys shmidta,,,,,,,
Boyolangu,24.81,-8.12,111.89,91.0,100.0,3.23,ID
Mar del plata,20.26,-38.0,-57.56,100.0,75.0,2.6,AR
Casa grande,9.43,32.88,-111.76,87.0,1.0,1.36,US
Aksha,-13.69,50.28,113.29,78.0,77.0,1.27,RU
Ndjole,28.36,-0.18,10.76,82.0,96.0,1.67,GA
Skiros,,,,,,,
Illoqqortoormiut,,,,,,,
Saint-philippe,27.9,-21.36,55.77,88.0,29.0,3.1,RE
Atambua,25.13,-9.11,124.89,89.0,100.0,0.72,ID
Geraldton,26.0,-28.77,114.6,54.0,17.0,4.6,AU
Edd,32.66,13.93,41.69,37.0,17.0,9.95,ER
Egvekinot,-19.83,66.32,-179.17,58.0,13.0,0.37,RU
Dabat,27.22,12.98,37.77,16.0,20.0,5.37,ET
Kiunga,25.39,-6.12,141.29,84.0,100.0,0.89,PG
Opuwo,23.92,-18.06,13.84,56.0,99.0,3.96,NA
Zabol,9.85,32.25,67.25,38.0,39.0,7.87,AF
Pangkalanbuun,25.79,-2.68,111.62,87.0,98.0,1.15,ID
Kavieng,28.21,-2.57,150.8,67.0,100.0,2.75,PG
Amderma,,,,,,,
Nome,-14.74,64.5,-165.41,71.0,1.0,3.6,US
Beringovskiy,-16.24,63.05,179.32,50.0,0.0,1.41,RU
Naze,18.0,28.37,129.48,72.0,75.0,7.2,JP
Bako,29.39,5.78,36.57,44.0,100.0,0.74,ET
Ribeira grande,16.0,38.52,-28.7,59.0,20.0,8.2,PT
Aporawan,,,,,,,
Castro,17.3,-24.79,-50.01,69.0,15.0,0.8,BR
Palmer,5.14,42.16,-72.33,65.0,75.0,7.7,US
Chuy,22.61,-33.7,-53.46,72.0,0.0,2.46,UY
Banda aceh,25.79,5.56,95.32,75.0,65.0,2.4,ID
Faya,21.49,18.39,42.45,49.0,40.0,9.3,SA
Tabialan,,,,,,,
Tasiilaq,-1.0,65.61,-37.64,74.0,75.0,7.7,GL
Sa kaeo,29.68,13.81,102.07,60.0,55.0,3.44,TH
Baker city,0.11,44.77,-117.83,74.0,1.0,1.5,US
Hirara,20.0,24.8,125.28,94.0,75.0,6.2,JP
Saint-francois,8.5,46.42,3.91,65.0,90.0,1.5,FR
Arraial do cabo,24.65,-22.97,-42.03,83.0,75.0,5.7,BR
Tiksi,-15.64,71.69,128.87,81.0,100.0,9.58,RU
Grand gaube,29.71,-20.01,57.66,79.0,40.0,5.1,MU
Isangel,24.0,-19.55,169.27,94.0,40.0,4.36,VU
Comodoro rivadavia,16.0,-45.87,-67.5,87.0,75.0,1.0,AR
Leningradskiy,-14.48,69.38,178.42,90.0,100.0,2.57,RU
Victoria,18.35,22.29,114.16,82.0,40.0,3.6,HK
Tura,24.93,25.52,90.22,40.0,11.0,0.8,IN
Escanaba,-1.8,45.75,-87.06,68.0,90.0,4.1,US
Kavaratti,28.21,10.57,72.64,74.0,88.0,5.64,IN
Mackenzie,0.0,55.3,-123.17,97.0,90.0,2.6,CA
El vigia,19.4,8.62,-71.65,71.0,38.0,1.74,VE
Umzimvubu,,,,,,,
Bambous virieux,29.76,-20.34,57.76,79.0,40.0,5.1,MU
Sabang,28.17,5.89,95.32,75.0,7.0,5.14,ID
Xuddur,35.51,4.12,43.89,20.0,100.0,5.26,SO
Salinas,8.28,36.68,-121.66,81.0,1.0,2.59,US
Rehoboth,27.06,-23.32,17.08,33.0,6.0,5.68,NA
Ilulissat,-25.0,69.22,-51.1,47.0,5.0,1.0,GL
Marmarion,16.36,38.05,24.32,55.0,75.0,8.2,GR
Wahiawa,20.5,21.5,-158.02,100.0,75.0,1.53,US
Fort nelson,-16.0,58.81,-122.7,71.0,75.0,4.1,CA
Raudeberg,6.26,61.99,5.14,56.0,75.0,5.1,NO
Rocha,21.82,-34.48,-54.33,69.0,0.0,2.46,UY
Morehead,3.66,37.27,-87.18,86.0,1.0,2.97,US
Husavik,-5.0,66.04,-17.34,73.0,0.0,6.2,IS
Constitucion,16.52,-35.33,-72.42,50.0,0.0,1.43,CL
Surt,21.06,31.21,16.59,22.0,60.0,8.69,LY
Catalina,5.48,32.51,-110.92,75.0,1.0,1.5,US
Vao,26.19,-22.67,167.48,81.0,23.0,5.4,NC
Falam,16.79,22.92,93.68,46.0,86.0,0.49,MM
Mantua,12.05,45.17,10.78,54.0,40.0,3.1,IT
North bend,7.48,43.41,-124.22,93.0,90.0,1.5,US
Mirnyy,-12.0,62.54,113.96,78.0,40.0,2.0,RU
Makhachkala,7.94,42.98,47.5,81.0,20.0,4.0,RU
Souillac,29.77,-20.52,57.52,79.0,40.0,5.1,MU
Umm kaddadah,35.25,13.6,26.69,6.0,0.0,5.29,SD
Bridlington,7.94,54.08,-0.19,65.0,100.0,2.1,GB
Vanavara,-10.14,60.34,102.28,95.0,100.0,1.75,RU
Puerto penasco,11.11,31.32,-113.53,90.0,0.0,2.68,MX
Sokoni,32.0,-6.43,39.55,62.0,75.0,2.6,TZ
Initao,26.67,8.5,124.3,80.0,37.0,2.24,PH
Ostrovnoy,-9.28,68.05,39.51,88.0,42.0,4.71,RU
Saint-joseph,27.9,-21.37,55.62,88.0,32.0,3.1,RE
Ahipara,17.78,-35.17,173.17,100.0,97.0,0.45,NZ
Kyabe,42.89,9.45,18.94,6.0,20.0,2.19,TD
Chernyshevskiy,-14.74,63.01,112.47,96.0,98.0,2.59,RU
Do gonbadan,13.39,30.36,50.8,38.0,0.0,2.2,IR
Batsfjord,-7.06,70.63,29.72,72.0,0.0,9.8,NO
Teguise,25.0,29.06,-13.56,53.0,0.0,9.8,ES
Pangai,27.0,-19.8,-174.35,78.0,40.0,5.1,TO
Slantsy,4.02,59.12,28.09,90.0,100.0,6.06,RU
Hervey bay,24.71,-25.3,152.85,73.0,40.0,2.1,AU
Hasaki,7.64,35.73,140.83,100.0,75.0,1.0,JP
Ponta do sol,18.21,32.67,-17.1,68.0,40.0,3.1,PT
Mwanza,20.0,-2.52,32.9,82.0,90.0,2.1,TZ
Marystown,1.96,47.17,-55.15,99.0,99.0,4.67,CA
Inirida,24.92,3.87,-67.92,92.0,16.0,0.17,CO
Bakel,37.89,14.9,-12.46,3.0,0.0,7.19,SN
Racine,0.52,42.75,-88.08,92.0,1.0,3.1,US
Makarov,-12.78,48.63,142.8,97.0,17.0,1.7,RU
Ambon,27.0,-3.7,128.18,88.0,40.0,3.1,ID
Semenivka,11.76,52.18,32.58,70.0,82.0,5.72,UA
Popondetta,23.85,-8.75,148.25,89.0,100.0,1.23,PG
Saryshagan,,,,,,,
Broome,2.15,42.25,-75.83,64.0,90.0,5.1,US
Pak phanang,30.0,8.35,100.2,74.0,20.0,2.6,TH
Bam,16.31,29.11,58.36,24.0,15.0,8.73,IR
Cruzeiro do sul,20.97,-29.51,-51.99,94.0,56.0,0.25,BR
Gat,23.41,31.61,34.76,53.0,0.0,4.6,IL
Matay,28.22,28.42,30.78,9.0,0.0,1.88,EG
Cabedelo,31.0,-6.98,-34.83,70.0,40.0,4.1,BR
Sao filipe,25.2,14.9,-24.5,53.0,0.0,6.64,CV
Rottenmann,4.16,47.52,14.35,45.0,100.0,4.1,AT
Boda,39.26,4.32,17.47,28.0,25.0,1.11,CF
Jiddah,,,,,,,
Praia da vitoria,15.0,38.73,-27.07,72.0,40.0,12.99,PT
Kourou,29.0,5.16,-52.65,66.0,40.0,6.7,GF
Kudat,27.91,6.88,116.85,78.0,75.0,3.1,MY
Kathu,29.0,7.92,98.33,66.0,20.0,4.6,TH
Iclod,13.0,46.98,23.8,71.0,20.0,1.0,RO
Cidreira,22.06,-30.18,-50.21,69.0,97.0,0.17,BR
Soyo,31.0,-6.13,12.37,70.0,20.0,3.6,AO
Biak,27.53,-0.91,122.88,79.0,100.0,4.73,ID
Waverly,0.79,42.74,-84.62,74.0,40.0,3.6,US
Itarema,29.0,-2.92,-39.92,74.0,43.0,1.8,BR
Syamzha,-0.56,60.02,41.06,79.0,29.0,3.84,RU
Hambantota,30.0,6.12,81.12,79.0,20.0,3.6,LK
Lubango,27.0,-14.92,13.49,31.0,20.0,6.2,AO
Southampton,7.23,50.9,-1.4,81.0,75.0,3.1,GB
Tautira,25.81,-17.73,-149.15,78.0,20.0,1.5,PF
Kaeo,17.78,-35.1,173.78,100.0,100.0,0.45,NZ
Bandarbeyla,25.41,9.49,50.81,65.0,52.0,4.05,SO
Mandalgovi,-5.48,45.76,106.27,48.0,60.0,6.27,MN
Tilichiki,-21.34,60.47,166.1,73.0,0.0,0.95,RU
Tessalit,34.29,20.2,1.01,4.0,0.0,4.35,ML
Camana,19.54,-16.62,-72.71,86.0,100.0,0.79,PE
Bose,13.3,45.46,8.01,22.0,17.0,2.6,IT
Avera,15.06,33.19,-82.53,94.0,90.0,3.29,US
Cabo san lucas,11.41,22.89,-109.91,87.0,91.0,0.89,MX
Barentsburg,,,,,,,
Port hardy,3.0,50.7,-127.42,86.0,40.0,4.1,CA
Los llanos de aridane,21.59,28.66,-17.92,68.0,20.0,5.7,ES
Samarai,26.11,-10.62,150.67,88.0,98.0,1.46,PG
Yar-sale,-11.8,66.83,70.83,91.0,93.0,8.6,RU
Seoul,-0.04,37.57,126.98,45.0,40.0,2.1,KR
Hami,8.04,42.8,93.45,30.0,0.0,3.59,CN
Torbay,1.49,47.67,-52.73,93.0,90.0,4.1,CA
Allapalli,28.22,19.42,80.07,48.0,55.0,2.56,IN
Cameta,25.15,-2.24,-49.5,93.0,100.0,0.83,BR
Kalmunai,27.3,7.42,81.82,66.0,100.0,4.17,LK
Waitati,11.11,-45.75,170.57,71.0,15.0,2.35,NZ
Varnamo,3.45,57.19,14.04,93.0,75.0,4.6,SE
Faanui,27.57,-16.48,-151.75,80.0,100.0,6.12,PF
Buinsk,1.0,54.95,48.28,100.0,90.0,2.0,RU
Bonavista,-0.5,48.65,-53.11,98.0,61.0,0.96,CA
Rudarpur,26.27,26.44,83.61,33.0,1.0,1.47,IN
Tatarsk,0.04,55.22,75.98,93.0,99.0,6.61,RU
Peniche,17.56,39.36,-9.38,68.0,40.0,4.1,PT
Salvador,20.47,13.83,-88.92,77.0,51.0,1.0,SV
Touros,26.0,-5.2,-35.46,88.0,75.0,5.7,BR
Itoman,17.7,26.12,127.67,93.0,75.0,6.7,JP
Harper,32.4,4.38,-7.72,60.0,60.0,3.07,LR
Belyy yar,0.0,53.6,91.39,76.0,100.0,7.0,RU
Awbari,23.92,26.59,12.78,17.0,7.0,7.72,LY
Belushya guba,,,,,,,
Flin flon,-8.0,54.77,-101.86,85.0,90.0,3.6,CA
Baruun-urt,-9.77,46.68,113.28,70.0,34.0,6.7,MN
Singaraja,29.58,-8.11,115.09,75.0,100.0,1.92,ID
Barrow,-34.0,71.29,-156.79,73.0,1.0,3.1,US
Nishihara,17.69,26.18,127.76,88.0,90.0,4.1,JP
Baikunthpur,28.78,23.25,82.55,20.0,48.0,0.59,IN
Mecca,31.19,21.43,39.83,35.0,0.0,4.27,SA
Longyearbyen,-11.0,78.22,15.64,78.0,90.0,1.5,SJ
Sarangani,28.32,5.4,125.46,79.0,69.0,3.41,PH
Maraa,23.27,-1.83,-65.37,99.0,100.0,1.15,BR
Siocon,27.14,7.71,122.14,80.0,50.0,1.91,PH
Kudahuvadhoo,28.21,2.67,72.89,75.0,99.0,5.13,MV
Pathein,23.38,16.78,94.73,77.0,38.0,3.33,MM
Bubaque,26.76,11.28,-15.83,51.0,0.0,2.15,GW
Ulladulla,20.44,-35.35,150.47,100.0,75.0,2.1,AU
San cristobal,25.0,7.77,-72.22,83.0,40.0,2.1,VE
Kapuskasing,-11.0,49.42,-82.43,92.0,75.0,1.5,CA
Havre-saint-pierre,-5.0,50.23,-63.6,100.0,90.0,7.2,CA
Izumo,8.4,35.37,132.77,81.0,75.0,2.1,JP
Andenes,-1.76,69.31,16.12,64.0,2.0,10.3,NO
Saint-augustin,-7.35,51.23,-58.65,93.0,44.0,1.73,CA
Saint-pierre,27.9,-21.34,55.48,88.0,32.0,3.1,RE
Doha,24.0,25.29,51.53,29.0,0.0,8.2,QA
Huarmey,21.41,-10.07,-78.15,79.0,79.0,0.38,PE
Tete,29.0,-16.16,33.59,62.0,75.0,5.1,MZ
Sao cristovao,31.0,-11.01,-37.21,66.0,40.0,5.1,BR
Bima,23.2,-8.47,118.72,96.0,99.0,0.53,ID
Klaksvik,4.0,62.23,-6.59,80.0,93.0,6.7,FO
Moussoro,38.23,13.64,16.49,8.0,0.0,5.85,TD
Aurillac,5.87,44.92,2.45,80.0,100.0,2.1,FR
Breda,12.08,45.72,12.33,62.0,40.0,2.1,IT
Qaqortoq,-17.0,60.72,-46.03,45.0,5.0,2.6,GL
Bilhaur,24.9,26.85,80.08,43.0,72.0,4.0,IN
Petropavlovsk-kamchatskiy,-10.0,53.05,158.65,92.0,40.0,3.0,RU
Inta,-8.3,66.03,60.17,87.0,100.0,11.09,RU
Kampene,19.56,-3.6,26.67,94.0,98.0,1.82,CD
Yarkovo,0.9,57.4,67.08,95.0,100.0,4.37,RU
Fortuna,6.6,40.6,-124.16,100.0,90.0,1.36,US
Severo-kurilsk,-5.51,50.68,156.12,92.0,100.0,4.57,RU
Qasigiannguit,-25.0,68.82,-51.19,47.0,5.0,1.0,GL
Derzhavinsk,-7.32,51.1,66.32,89.0,9.0,3.8,KZ
Dalby,22.18,-27.18,151.27,83.0,66.0,4.1,AU
Kralendijk,27.0,12.15,-68.27,74.0,51.0,7.7,BQ
Tual,28.97,-5.67,132.75,79.0,62.0,2.84,ID
Nicosia,20.92,35.17,33.37,45.0,75.0,6.2,CY
Mount gambier,16.0,-37.83,140.77,87.0,90.0,2.6,AU
Dudinka,-8.0,69.41,86.18,85.0,75.0,10.0,RU
Mahibadhoo,28.06,3.78,72.97,75.0,99.0,5.68,MV
Manoel urbano,23.14,-8.84,-69.26,98.0,98.0,0.43,BR
Katsuura,9.09,35.13,140.3,93.0,75.0,2.6,JP
Osterburg,8.6,52.78,11.77,55.0,42.0,1.34,DE
Zinder,36.0,13.81,8.99,5.0,0.0,5.1,NE
Batagay-alyta,-22.1,67.8,130.41,75.0,99.0,1.58,RU
Kawalu,22.33,-7.38,108.21,97.0,100.0,3.58,ID
Marsa matruh,12.0,31.35,27.25,100.0,0.0,4.6,EG
Port blair,26.76,11.67,92.75,78.0,70.0,5.84,IN
Tommot,-19.04,58.96,126.29,87.0,0.0,1.64,RU
Saint george,2.39,37.1,-113.58,60.0,1.0,0.45,US
Gimli,-12.74,50.63,-96.99,94.0,3.0,2.74,CA
Kudymkar,-1.23,59.02,54.66,87.0,100.0,2.46,RU
Bikaner,29.45,28.02,73.3,14.0,40.0,2.13,IN
Kemise,27.05,10.72,39.87,36.0,49.0,4.12,ET
Richards bay,25.56,-28.78,32.04,72.0,0.0,12.49,ZA
Santa cruz,26.52,-17.8,-63.17,61.0,20.0,1.9,BO
Mitsamiouli,33.0,-11.38,43.28,63.0,20.0,5.7,KM
Fairbanks,-30.22,64.84,-147.72,66.0,1.0,0.55,US
Palabuhanratu,,,,,,,
North adams,3.34,42.7,-73.11,69.0,90.0,7.7,US
Buraydah,24.0,26.33,43.98,27.0,0.0,2.21,SA
Nortelandia,24.32,-14.45,-56.8,82.0,54.0,0.36,BR
Rio claro,18.0,-22.41,-47.56,88.0,16.0,2.1,BR
Temaraia,,,,,,,
Gigmoto,26.55,13.78,124.39,80.0,70.0,5.79,PH
Albion,1.45,42.24,-84.75,59.0,90.0,4.6,US
Skelleftea,-3.16,64.75,20.95,79.0,75.0,4.6,SE
Nouadhibou,31.0,20.93,-17.03,22.0,0.0,3.6,MR
Laguna,8.5,38.42,-121.42,87.0,1.0,1.26,US
Carroll,6.34,39.55,-77.02,82.0,1.0,4.1,US
Esmeraldas,19.81,-19.76,-44.31,100.0,75.0,1.0,BR
Kadom,3.45,54.56,42.47,96.0,90.0,1.6,RU
Mackay,26.9,-21.15,149.2,83.0,75.0,5.7,AU
Shingu,11.67,33.73,135.98,85.0,100.0,1.79,JP
Kibala,40.0,9.11,18.35,12.0,55.0,1.42,TD
Lima,23.0,-12.04,-77.03,83.0,99.0,1.0,PE
Kamenskoye,,,,,,,
Kuala terengganu,27.91,5.33,103.14,83.0,40.0,2.6,MY
Padang,21.77,-0.95,100.35,96.0,100.0,0.31,ID
Hamilton,2.44,39.18,-84.53,86.0,1.0,1.5,US
Dossor,11.61,47.53,52.98,48.0,9.0,5.51,KZ
Nurota,11.0,40.56,65.69,66.0,90.0,5.1,UZ
Honiara,28.0,-9.43,159.95,88.0,75.0,4.1,SB
Penzance,10.22,50.12,-5.54,100.0,90.0,8.7,GB
Bairiki,29.0,1.33,172.98,74.0,40.0,3.6,KI
Korla,2.14,41.76,86.15,51.0,42.0,0.72,CN
Thomaston,14.19,32.89,-84.33,100.0,90.0,3.1,US
Grand river south east,,,,,,,
Senanga,25.27,-16.12,23.27,74.0,73.0,2.97,ZM
San quintin,12.98,30.48,-115.95,82.0,0.0,1.28,MX
Jumla,5.91,29.27,82.18,52.0,31.0,2.61,NP
Meulaboh,29.91,4.14,96.13,68.0,100.0,2.12,ID
Aykhal,-15.0,66.0,111.5,77.0,54.0,3.0,RU
Gombong,25.63,-7.61,109.51,91.0,100.0,0.56,ID
Yueyang,11.79,29.33,113.09,75.0,100.0,3.02,CN
Bollnas,-0.27,61.35,16.39,97.0,100.0,5.98,SE
Buala,27.88,-8.14,159.59,79.0,80.0,0.99,SB
Luwuk,27.53,-0.95,122.79,79.0,100.0,4.73,ID
Houston,20.78,29.76,-95.36,94.0,90.0,4.1,US
Japura,26.3,-0.32,102.35,87.0,60.0,1.68,ID
Mega,26.54,4.05,38.3,44.0,100.0,5.56,ET
Kafanchan,39.14,9.58,8.3,10.0,43.0,1.8,NG
Brae,7.0,60.4,-1.35,75.0,20.0,6.7,GB
Shakawe,25.98,-18.37,21.85,56.0,85.0,3.71,BW
Ilo,22.0,-17.64,-71.34,78.0,90.0,4.1,PE
Maldonado,22.34,-34.67,-54.92,83.0,20.0,1.0,UY
Ulundi,27.09,-28.34,31.42,56.0,0.0,4.13,ZA
Himora,,,,,,,
Taksimo,-17.58,56.34,114.88,91.0,100.0,0.98,RU
Tailai,-10.4,46.38,123.4,74.0,0.0,1.53,CN
Araouane,35.12,18.9,-3.53,3.0,0.0,7.88,ML
Krasnyy luch,13.33,48.14,38.94,56.0,92.0,4.4,UA
